id,perc_of_compensation_paid,age_in_days,age_id,age_group,income,count_3-6_months_late,count_6-12_months_late,count_more_than_12_months_late,cause
649,0.001,27384.0,4,Пожилой,,0,0,0,повреждение автомобиля
81136,0.124,23735.0,4,пожилой,285140.0,0,0,0,упало дерево на автомобиль
70762,1.0,17170.0,3,Зрелый,-186030.0,0,0,0,сломала ногу в отпуске
53935,0.198,16068.0,3,Зрелый,-123540.0,0,0,0,хищение автомобиля (каско)
15476,0.041,10591.0,2,Молодой,-200020.0,1,0,0,несчастный случай в отпуске
64797,0.112,16065.0,3,Зрелый,,0,0,0,врезались в автомобиль
67412,0.325,17167.0,3,ЗРЕЛЫЙ,388050.0,6,0,0,травма во время отдыха
44241,0.362,20085.0,4,ПОЖИЛОЙ,-99880.0,3,0,0,повреждение автомобиля
5069,0.115,23008.0,4,Пожилой,360040.0,0,0,0,сгорела квартира
16615,0.021,21906.0,4,Пожилой,510040.0,0,0,0,сгорел дом
84281,0.006,17531.0,3,зрелый,-178520.0,0,0,0,травма во время отдыха
82623,0.324,23000.0,4,Пожилой,154430.0,0,0,0,кража автомобиля
86475,0.342,16435.0,3,Зрелый,199820.0,4,1,0,украли авто
68263,0.145,14609.0,3,Зрелый,27130.0,0,0,0,потоп в квартире
113135,0.256,12789.0,3,Зрелый,61540.0,0,0,0,украли багаж в отпуске
45532,0.208,10231.0,2,молодой,-375030.0,0,0,0,травма во время отдыха
102161,0.006,25191.0,4,Пожилой,,0,0,0,травма во время отдыха
84789,0.982,16070.0,3,Зрелый,-437570.0,1,0,4,повреждение авто
62398,0.264,17166.0,3,Зрелый,-250040.0,0,0,0,проникли в жилье
70148,0.0,8044.0,2,МОЛОДОЙ,-27930.0,0,0,0,повреждение автомобиля
102487,0.846,12050.0,2,Молодой,233110.0,0,0,0,украли авто
100513,0.485,21548.0,4,Пожилой,-220070.0,2,0,0,сгорел дом
92702,0.0,12788.0,3,Зрелый,37610.0,1,0,0,кража авто
25051,1.0,14614.0,3,Зрелый,-129080.0,0,1,0,обокрали дачу
92920,0.003,23006.0,4,Пожилой,250110.0,0,0,0,украли авто
25520,0.505,14975.0,3,Зрелый,267110.0,0,0,0,сотрясение во время отдыха
81869,0.433,16073.0,3,Зрелый,705060.0,0,0,0,обокрали дачу
75402,0.026,22270.0,4,Пожилой,105620.0,0,0,0,замкнуло электричество дома
34053,0.647,16065.0,3,Зрелый,135050.0,0,1,1,хищение автомобиля (каско)
21191,0.065,13882.0,3,Зрелый,162050.0,0,0,0,травма во время отдыха
10864,0.0,17530.0,3,ЗРЕЛЫЙ,112620.0,0,0,0,украли багаж в отпуске
6349,1.0,20453.0,4,Пожилой,155160.0,0,0,0,украли авто
85213,0.108,11686.0,2,молодой,90060.0,0,0,0,несчастный случай на отдыхе
17255,1.0,27022.0,4,пожилой,90100.0,0,0,0,взломали квартиру
108351,0.45,14612.0,3,Зрелый,67560.0,0,1,0,травма во время отдыха
51437,1.0,24825.0,4,ПОЖИЛОЙ,281150.0,0,0,0,повреждение автомобиля
88629,0.152,17893.0,3,Зрелый,290050.0,4,0,0,упало дерево на автомобиль
85367,0.076,21905.0,4,Пожилой,252140.0,0,0,0,обокрали дачу
12313,0.234,16071.0,3,зрелый,280070.0,1,0,0,сгорела квартира
71659,1.0,15341.0,3,Зрелый,160540.0,0,0,0,врезались в автомобиль
35142,1.0,28850.0,4,пожилой,56460.0,0,0,0,травма в отпуске
62988,0.105,15700.0,3,Зрелый,159030.0,0,0,0,поломка авто
8793,0.498,16433.0,3,Зрелый,50350.0,0,0,0,несчастный случай на отдыхе
11433,0.034,19723.0,3,Зрелый,105490.0,0,0,0,затопило дом
30586,0.022,16066.0,3,Зрелый,354110.0,0,0,0,потоп в квартире
53012,1.0,18263.0,3,Зрелый,45140.0,0,0,0,повреждение авто
87924,0.087,11691.0,2,МОЛОДОЙ,98130.0,0,0,0,сломала ногу в отпуске
106177,0.49,24463.0,4,Пожилой,288110.0,0,0,0,проникли в жилье
63058,1.0,16439.0,3,Зрелый,235490.0,0,0,0,кража авто
99537,0.276,10960.0,2,Молодой,287550.0,0,0,0,несчастный случай на отдыхе
35336,1.0,20812.0,4,Пожилой,214620.0,1,0,0,кража авто
78691,0.955,23002.0,4,Пожилой,,0,0,0,сгорел дом
16161,0.183,18264.0,3,Зрелый,,0,0,0,обокрали дачу
94318,1.0,17525.0,3,Зрелый,,0,0,0,украли авто
96583,0.062,23371.0,4,Пожилой,,0,0,0,проникли в жилье
104560,0.34700000000000003,10231.0,2,Молодой,,0,0,0,проникли в жилье
19638,0.015,27750.0,4,Пожилой,,0,0,0,дтп
26080,1.0,16431.0,3,Зрелый,217630.0,0,0,0,поломка авто
113482,0.033,16430.0,3,Зрелый,105100.0,0,0,0,украли багаж в отпуске
82175,0.199,17160.0,3,Зрелый,141040.0,0,0,0,травма в отпуске
1239,1.0,30308.0,4,Пожилой,93060.0,0,0,0,сломала ногу в отпуске
32521,1.0,17898.0,3,Зрелый,120050.0,1,1,0,сгорела квартира
68529,0.091,27384.0,4,Пожилой,131850.0,0,0,0,сгорел дом
38882,1.0,13149.0,3,Зрелый,120090.0,6,1,1,сгорела квартира
8299,0.139,28848.0,4,Пожилой,81140.0,0,0,0,обокрали дачу
98521,1.0,17891.0,3,Зрелый,245160.0,0,0,0,поломка авто
47257,0.0,15343.0,3,Зрелый,185010.0,1,0,0,кража автомобиля
42445,0.634,24098.0,4,Пожилой,204150.0,0,0,0,несчастный случай на отдыхе
104700,0.969,21910.0,4,Пожилой,193280.0,7,0,0,кража автомобиля
109204,0.07,25559.0,4,Пожилой,,0,0,0,затопило дом
20138,1.0,26289.0,4,Пожилой,,1,1,2,врезались в автомобиль
28468,0.032,17163.0,3,Зрелый,,0,0,0,затопило дом
94964,1.0,34683.0,4,Пожилой,240130.0,1,1,0,украли авто
59773,0.381,26285.0,4,Пожилой,,1,0,0,дтп
17261,1.0,28848.0,4,Пожилой,351030.0,0,0,0,травма во время отдыха
9570,0.429,15707.0,3,Зрелый,93070.0,0,0,0,хищение автомобиля (каско)
55159,1.0,11325.0,2,Молодой,,0,1,0,несчастный случай на отдыхе
82480,0.048,9134.0,2,Молодой,48040.0,0,0,0,несчастный случай на отдыхе
51225,0.7090000000000001,12050.0,2,Молодой,,1,1,0,травма в отпуске
53176,0.762,16072.0,3,Зрелый,75110.0,2,0,0,травма в отпуске
82883,0.0,11329.0,2,Молодой,177610.0,0,0,0,обокрали дачу
63590,0.083,12425.0,2,Молодой,196540.0,0,0,0,сотрясение во время отдыха
50906,0.0,23372.0,4,Пожилой,,0,1,1,потоп в квартире
21635,0.947,14243.0,3,Зрелый,196170.0,0,0,0,сломала ногу в отпуске
84000,0.807,14244.0,3,Зрелый,102140.0,0,0,0,сотрясение во время отдыха
79029,0.013,24833.0,4,Пожилой,184430.0,0,0,0,дтп
60256,0.041,21915.0,4,Пожилой,,0,0,0,несчастный случай на отдыхе
110660,1.0,12417.0,2,Молодой,87590.0,0,0,0,упало дерево на автомобиль
51023,1.0,17892.0,3,Зрелый,207040.0,0,0,0,повреждение авто
99146,0.723,19360.0,3,Зрелый,,0,0,0,сгорел дом
93878,1.0,20814.0,4,Пожилой,104520.0,0,0,0,несчастный случай на отдыхе
93845,1.0,17898.0,3,Зрелый,120030.0,0,0,0,украли авто
5364,0.232,21546.0,4,Пожилой,,6,2,2,врезались в автомобиль
106612,0.343,17531.0,3,Зрелый,140090.0,0,0,0,сгорел дом
79928,0.006,18263.0,3,Зрелый,411050.0,0,0,0,травма во время отдыха
94761,1.0,28118.0,4,Пожилой,,1,0,0,украли багаж в отпуске
7126,0.106,19720.0,3,Зрелый,120330.0,0,0,0,сгорела квартира
82176,1.0,14612.0,3,Зрелый,260750.0,0,0,0,кража авто
53475,1.0,21910.0,4,Пожилой,194360.0,1,1,1,сломала ногу в отпуске
88108,0.013,26288.0,4,Пожилой,,0,0,0,упало дерево на автомобиль
65166,0.073,19722.0,3,Зрелый,39960.0,0,0,0,украли багаж в отпуске
65378,1.0,31032.0,4,Пожилой,102100.0,0,0,0,несчастный случай на отдыхе
47119,0.046,21913.0,4,Пожилой,,1,0,0,упало дерево на автомобиль
64338,1.0,16436.0,3,Зрелый,315140.0,0,0,0,кража авто
48872,0.7809999999999999,17163.0,3,Зрелый,448400.0,0,0,0,кража в квартире
26061,1.0,22635.0,4,Пожилой,308050.0,0,0,0,обокрали дачу
78191,0.008,13883.0,3,Зрелый,450140.0,0,0,0,кража автомобиля
108224,0.107,17895.0,3,Зрелый,,0,0,0,украли багаж в отпуске
47646,1.0,12419.0,2,Молодой,240070.0,0,0,0,кража автомобиля
63423,0.091,15708.0,3,Зрелый,196140.0,0,0,0,травма во время отдыха
109453,0.642,14977.0,3,Зрелый,300100.0,0,0,0,обокрали дачу
43299,1.0,24829.0,4,Пожилой,187620.0,0,0,0,украли авто
86879,0.005,12781.0,3,Зрелый,137590.0,0,0,0,замкнуло электричество дома
51882,0.075,16440.0,3,Зрелый,333060.0,0,0,0,травма в отпуске
84497,0.94,16436.0,3,Зрелый,173360.0,3,2,0,сотрясение во время отдыха
19699,1.0,16075.0,3,Зрелый,300030.0,0,0,0,замкнуло электричество дома
52164,0.422,12058.0,2,Молодой,,0,0,0,врезались в автомобиль
36055,1.0,20090.0,4,Пожилой,239370.0,0,0,0,кража автомобиля
17844,0.16399999999999998,20084.0,4,Пожилой,,0,0,0,сгорел дом
12006,0.278,24099.0,4,Пожилой,,0,0,0,кража автомобиля
51731,0.02,22644.0,4,Пожилой,,0,0,0,несчастный случай на отдыхе
101823,1.0,21907.0,4,Пожилой,,0,0,0,травма в отпуске
70611,0.087,18988.0,3,Зрелый,,0,0,0,сгорел дом
57291,1.0,23370.0,4,Пожилой,141080.0,3,0,0,кража в квартире
3315,0.529,9869.0,2,Молодой,222650.0,0,0,0,травма во время отдыха
6841,0.5870000000000001,16070.0,3,Зрелый,137570.0,0,0,0,повреждение автомобиля
95636,0.315,12425.0,2,Молодой,99110.0,4,0,0,сгорел дом
89508,0.053,24460.0,4,Пожилой,111710.0,0,0,0,затопило дом
78357,0.064,22272.0,4,Пожилой,117150.0,1,0,0,взломали квартиру
30363,0.014,21543.0,4,Пожилой,193570.0,0,0,0,повреждение авто
65880,0.029,17528.0,3,Зрелый,210080.0,1,0,0,сотрясение во время отдыха
79166,1.0,11687.0,2,Молодой,121890.0,0,0,0,поломка авто
16883,0.993,14971.0,3,Зрелый,252080.0,0,0,0,повреждение авто
19400,0.067,20084.0,4,Пожилой,225040.0,0,0,0,сломала ногу в отпуске
97846,0.21600000000000005,12787.0,3,Зрелый,231180.0,0,0,0,сгорел дом
35938,0.373,14978.0,3,Зрелый,72110.0,0,0,0,врезались в автомобиль
109739,0.201,21546.0,4,Пожилой,105040.0,0,0,0,дтп
7542,0.736,17533.0,3,Зрелый,210150.0,0,0,0,проникли в жилье
62506,0.13699999999999998,28477.0,4,Пожилой,210140.0,0,0,0,травма во время отдыха
106686,0.157,14246.0,3,Зрелый,193560.0,0,0,0,повреждение автомобиля
22500,0.031,26660.0,4,Пожилой,71940.0,0,0,0,хищение автомобиля (каско)
73566,0.006,17531.0,3,Зрелый,120130.0,1,0,0,несчастный случай на отдыхе
34462,0.039,24102.0,4,Пожилой,259630.0,0,0,0,украли багаж в отпуске
109,0.281,20082.0,4,Пожилой,272630.0,0,0,0,травма в отпуске
82344,0.108,17900.0,3,Зрелый,300120.0,0,0,0,проникли в жилье
70324,1.0,16065.0,3,Зрелый,,0,0,0,кража автомобиля
47235,0.123,23734.0,4,Пожилой,408050.0,0,0,0,повреждение авто
78355,0.401,10958.0,2,Молодой,173370.0,0,0,0,несчастный случай в отпуске
97012,0.727,16802.0,3,Зрелый,189250.0,0,0,0,дтп
103271,1.0,24096.0,4,Пожилой,,0,0,0,поломка авто
54640,0.0,12418.0,2,Молодой,165030.0,0,0,0,сгорела квартира
18452,0.731,14613.0,3,Зрелый,261210.0,0,0,0,кража автомобиля
80733,0.013,14977.0,3,Зрелый,174130.0,1,0,0,сгорела квартира
